run_id,mode,seed,family,snapshot_count,accepted_moves,score_start,score_end,score_best,score_slope,score_ls_slope,D_min_ratio_start,D_min_ratio_end,D_min_ratio_slope,D_min_ratio_ls_slope,P_4_start,P_4_end,P_4_slope,P_4_ls_slope,P_8_start,P_8_end,P_8_slope,P_8_ls_slope,P_16_start,P_16_end,P_16_slope,P_16_ls_slope,kappa_max_start,kappa_max_end,kappa_max_slope,kappa_max_ls_slope,Q_ratio_start,Q_ratio_end,Q_ratio_slope,Q_ratio_ls_slope,InitHardness_start,InitHardness_end,InitHardness_slope,InitHardness_ls_slope,final_label,final_canonical_hash,score0_candidate_paths
threshold_accepting_seed1,threshold_accepting,1,pure_random,31,2738,764,32,16,-0.244,-0.04499999999999999,0.5863874345549738,0.75,5.453752181500874e-05,3.120361226202723e-05,0.7312312312312312,0.07657657657657657,-0.0002182182182182182,-4.285333720817592e-05,0.7394894894894894,0.12462462462462462,-0.00020495495495495493,-4.1336699602828636e-05,0.759009009009009,0.31981981981981983,-0.0001463963963963964,-3.168289256998934e-05,10.0,1.4,-0.0028666666666666667,-0.000540994623655914,0.42041157649796396,9.588541666666666,0.0030560433633895676,0.0011122253145159566,970.1714285714334,-1097.8285714285666,-0.6893333333333334,-0.07874193548387096,escapable_final,b9b70cf8ecb4bafe67b12383bf4c717772aef16861e3b96cfa0b0314692a900b,[]
threshold_accepting_seed2,threshold_accepting,2,pure_random,31,2762,304,24,16,-0.09333333333333334,-0.01833870967741936,0.5921052631578947,0.6666666666666666,2.4853801169590648e-05,-2.5210876654000574e-06,0.5645645645645646,0.06381381381381382,-0.00016691691691691693,-3.710161774677904e-05,0.5953453453453453,0.10585585585585586,-0.00016316316316316315,-3.734379540831154e-05,0.6651651651651652,0.24174174174174173,-0.00014114114114114116,-3.503099874067617e-05,6.666666666666667,1.6666666666666667,-0.0016666666666666668,-0.00036373847926267285,1.0590277777777777,12.900462962962964,0.003947145061728396,0.001376210155227713,1078.1714285714334,-697.8285714285666,-0.592,-0.10279032258064517,escapable_final,7031cc56e204f45624eb337dc329cc3d4935eca777fdd47a8d613e40f364f326,[]
threshold_accepting_seed3,threshold_accepting,3,pure_random,31,2762,340,24,12,-0.10533333333333333,-0.02003225806451613,0.6352941176470588,0.6666666666666666,1.0457516339869281e-05,2.9284885997409722e-05,0.6088588588588588,0.03978978978978979,-0.00018968968968968968,-3.820352610675191e-05,0.6478978978978979,0.07357357357357357,-0.00019144144144144144,-3.7752470212147634e-05,0.6944444444444444,0.22372372372372373,-0.0001569069069069069,-3.1658674803836094e-05,6.5,1.4,-0.0017,-0.0003680107526881721,0.9264705882352942,12.799768518518519,0.003957765976761075,0.0008306226186711246,78.17142857143335,-1045.8285714285666,-0.37466666666666665,-0.14220967741935484,escapable_final,75230a18c1c493d30d5adf503145b7296e1ad35d287369146cd4aa082c79f958,[]
threshold_accepting_seed4,threshold_accepting,4,pure_random,31,2756,196,52,16,-0.048,-0.009225806451612903,0.42857142857142855,0.5384615384615384,3.663003663003663e-05,-5.1861780692425855e-06,0.4924924924924925,0.14864864864864866,-0.0001146146146146146,-1.82753317833963e-05,0.5262762762762763,0.21021021021021022,-0.00010535535535535534,-1.7430737188801703e-05,0.5908408408408409,0.35960960960960964,-7.707707707707708e-05,-1.3083648164293327e-05,5.0,2.0,-0.001,-0.0002426747311827957,1.5861678004535147,5.924679487179487,0.001446170562241991,0.0004344789712451243,-513.8285714285666,-917.8285714285666,-0.13466666666666666,-0.10340322580645162,escapable_final,936b4435916816f31dfb2d06e9b3f2e39b11a5f50aa750c7755b4189c4138548,[]
threshold_accepting_seed5,threshold_accepting,5,near_hit_seed,31,2768,4,28,4,0.008,0.0010000000000000002,2.0,0.8571428571428571,-0.0003809523809523809,-2.4908794162826432e-05,0.003003003003003003,0.04954954954954955,1.5515515515515516e-05,-1.4318754238109075e-06,0.00975975975975976,0.09384384384384384,2.8028028028028025e-05,-1.5196648261164403e-06,0.10135135135135136,0.24024024024024024,4.62962962962963e-05,3.7931076237527806e-06,0.6666666666666666,1.3333333333333333,0.0002222222222222222,4.0389784946236565e-05,77.9375,10.985119047619047,-0.022317460317460316,-0.0036527605100059738,-389.82857142856665,-989.8285714285666,-0.2,-0.01975806451612903,escapable_final,2e5e5225ee46573a79daa72315e01d8a70ac8c445cf5ead25008923821bfdd78,[]
threshold_accepting_seed6,threshold_accepting,6,near_hit_seed,31,2761,4,16,4,0.004,-0.0010645161290322581,2.0,0.75,-0.0004166666666666667,-3.1685518782292975e-05,0.0007507507507507507,0.023273273273273273,7.507507507507507e-06,-8.745640802092414e-06,0.0015015015015015015,0.05780780780780781,1.8768768768768768e-05,-9.036253995931416e-06,0.08333333333333333,0.18393393393393392,3.3533533533533535e-05,-4.280490167586943e-06,0.5,1.25,0.00025,-6.858678955453149e-05,77.22222222222223,19.321180555555557,-0.019300347222222222,-0.0029429229167636426,-801.8285714285666,-765.8285714285666,0.012,-0.0629516129032258,escapable_final,4d6ce640e1053587a9a79c1824db657a2c04a1297896a29dac2c810af0fb43dd,[]
threshold_accepting_seed7,threshold_accepting,7,near_hit_seed,31,2770,4,24,4,0.006666666666666667,0.0026290322580645163,2.0,0.6666666666666666,-0.0004444444444444445,-9.824526951543081e-05,0.0007507507507507507,0.06306306306306306,2.077077077077077e-05,8.500435919790756e-06,0.012762762762762763,0.11411411411411411,3.3783783783783784e-05,1.19575220381672e-05,0.08783783783783784,0.24924924924924924,5.3803803803803804e-05,1.7672914850334204e-05,0.6666666666666666,1.4,0.00024444444444444443,0.00010349462365591399,77.03472222222223,12.753472222222221,-0.021427083333333333,-0.00449897806590935,-909.8285714285666,-1205.8285714285666,-0.09866666666666667,-0.04159677419354839,escapable_final,7a217decb4b256164df77c3c85ac3fcc4ad2ddb8ac36df50293a4c5b942858db,[]
threshold_accepting_seed8,threshold_accepting,8,near_hit_seed,31,2788,4,32,4,0.009333333333333334,0.00382258064516129,3.0,0.5,-0.0008333333333333334,-0.000148489503328213,0.0,0.07732732732732733,2.577577577577578e-05,1.382531725273661e-05,0.010510510510510511,0.13513513513513514,4.1541541541541544e-05,2.1332824760244114e-05,0.08408408408408409,0.2882882882882883,6.806806806806807e-05,2.526821176014725e-05,0.6,1.5714285714285714,0.0003238095238095238,8.792242703533026e-05,77.125,9.577256944444445,-0.02251591435185185,-0.0048738463928358075,-857.8285714285666,-1149.8285714285666,-0.09733333333333333,0.04345161290322581,escapable_final,311559d1f6caf299d9a9c406c263697a0b2cf654a218b09624943b4f2fe023ea,[]
threshold_accepting_seed9,threshold_accepting,9,near_hit_seed,31,2756,4,12,4,0.0026666666666666666,-4.838709677419352e-05,2.0,1.0,-0.0003333333333333333,-5.210035260438486e-05,0.0015015015015015015,0.010510510510510511,3.0030030030030034e-06,1.4954470599631883e-06,0.00975975975975976,0.03753753753753754,9.259259259259259e-06,-1.2108883076625312e-08,0.08258258258258258,0.15315315315315314,2.352352352352352e-05,-4.2683812845103167e-07,0.8,1.0,6.666666666666666e-05,-9.197388632872498e-06,77.09722222222223,25.854166666666668,-0.01708101851851852,-0.0023219132115364477,-873.8285714285666,-605.8285714285666,0.08933333333333333,0.07664516129032257,unknown_final,8ace3ddbe714368bc5131bbe641a306c2fcb8354e5ca1b0bd9916fafa7f43276,[]
threshold_accepting_seed10,threshold_accepting,10,near_hit_seed,31,2763,4,32,4,0.009333333333333334,0.002129032258064516,2.0,0.375,-0.0005416666666666666,-6.736576595447564e-05,0.0007507507507507507,0.07132132132132132,2.3523523523523525e-05,6.750702315218444e-06,0.006756756756756757,0.12987987987987987,4.104104104104104e-05,9.67802479899254e-06,0.08183183183183183,0.27627627627627627,6.48148148148148e-05,1.251453065969195e-05,0.6666666666666666,1.8,0.00037777777777777777,4.502688172043011e-05,76.57638888888889,9.61111111111111,-0.022321759259259256,-0.003924471329801471,-1173.8285714285666,-993.8285714285666,0.06,0.15124193548387097,escapable_final,7cb6343ea0fc79f47209cdd3bb360d3a3f75137b03f117e39b3c8228b62e52a5,[]
threshold_accepting_seed11,threshold_accepting,11,near_hit_seed,31,2742,8,36,8,0.009333333333333334,0.0034838709677419357,1.5,0.6666666666666666,-0.0002777777777777778,-4.0069328073360334e-05,0.003003003003003003,0.09384384384384384,3.028028028028028e-05,8.730504698246633e-06,0.014264264264264264,0.1478978978978979,4.454454454454454e-05,1.0386394458975102e-05,0.08633633633633633,0.3130630630630631,7.557557557557558e-05,1.7445873292647486e-05,0.8,1.6666666666666667,0.0002888888888888889,9.67741935483872e-06,38.798611111111114,8.45216049382716,-0.010115483539094652,-0.002571013660025757,-585.8285714285666,-1465.8285714285666,-0.29333333333333333,-0.028580645161290323,escapable_final,ceb9d24e991e8d9839e0796a48394a0ee72b9612878f885e8e79e256e7fe598c,[]
threshold_accepting_seed12,threshold_accepting,12,near_hit_seed,31,2736,8,36,8,0.009333333333333334,0.0013387096774193548,1.0,0.4444444444444444,-0.0001851851851851852,-3.0126728110599078e-05,0.005255255255255256,0.10510510510510511,3.3283283283283285e-05,5.503487358326068e-06,0.02177177177177177,0.15015015015015015,4.279279279279279e-05,5.2128741644870714e-06,0.12162162162162163,0.30930930930930933,6.256256256256256e-05,6.490361329071002e-06,1.0,2.0,0.0003333333333333333,3.266129032258065e-05,38.12152777777778,8.466820987654321,-0.009884902263374485,-0.0014964212376258749,-1365.8285714285666,-1389.8285714285666,-0.008,0.08335483870967741,escapable_final,a020330774fb0e210d29f6f6b93f11f05460b6b136f8b1f4f883498b73665df4,[]
threshold_accepting_seed13,threshold_accepting,13,pure_random,31,2763,216,20,16,-0.06533333333333333,-0.012838709677419357,0.48148148148148145,0.6,3.950617283950617e-05,3.8305287902062094e-05,0.503003003003003,0.04279279279279279,-0.0001534034034034034,-3.44195001453066e-05,0.5375375375375375,0.07657657657657657,-0.00015365365365365365,-3.425905744454132e-05,0.6058558558558559,0.21996996996996998,-0.00012862862862862863,-3.012084665310472e-05,4.8,1.5,-0.0010999999999999998,-0.0002185483870967742,1.429783950617284,15.51388888888889,0.004694701646090535,0.0011949014322775243,-809.8285714285666,-601.8285714285666,0.06933333333333333,0.07251612903225807,escapable_final,187aa6d508ae0a0ff723c2795847e15ba3cedb16823ee342c08a6c272f3bdb84,[]
threshold_accepting_seed14,threshold_accepting,14,pure_random,31,2756,272,44,12,-0.076,-0.01532258064516129,0.6323529411764706,0.6363636363636364,1.3368983957219305e-06,1.0635247500759837e-05,0.5675675675675675,0.12012012012012012,-0.00014914914914914914,-3.440436404146081e-05,0.5945945945945946,0.17717717717717718,-0.00013913913913913916,-3.604814491911266e-05,0.6516516516516516,0.3183183183183183,-0.0001111111111111111,-3.174646420614162e-05,5.0,2.0,-0.001,-0.0002239535330261137,1.1751429738562091,7.039141414141414,0.001954666146761735,0.0013675203469706552,746.1714285714334,-681.8285714285666,-0.476,-0.14190322580645162,escapable_final,46a27a2e64f14739d34dc67d22e820738f33bd3f4e1bf53d44585824c9b85c03,[]
