label,feature,row_count,count,missing_count,mean,median,std,min,p10,p25,p75,p90,max
search_derived_false_basin,D_min_ratio,36,36,0,1.6666666666666667,1.5,0.6123724356957945,1.0,1.0,1.0,2.0,2.5,3.0
search_derived_false_basin,h_min,36,36,0,3.2222222222222223,4.0,2.4620577562400374,0.0,0.0,0.0,4.0,6.0,8.0
search_derived_false_basin,h_min_over_S,36,36,0,0.6666666666666666,0.5,0.6123724356957945,0.0,0.0,0.0,1.0,1.5,2.0
search_derived_false_basin,P_<0,36,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
search_derived_false_basin,P_0,36,36,0,0.0003128128128128128,0.0,0.0005418076850503245,0.0,0.0,0.0,0.0007507507507507507,0.0007507507507507507,0.0022522522522522522
search_derived_false_basin,P_4,36,36,0,0.003169836503169836,0.003003003003003003,0.002631266315580164,0.0,0.00037537537537537537,0.0007507507507507507,0.004692192192192192,0.007132132132132133,0.009009009009009009
search_derived_false_basin,P_8,36,36,0,0.015098431765098431,0.014264264264264264,0.007099740684335406,0.0015015015015015015,0.007132132132132133,0.00975975975975976,0.02027027027027027,0.02364864864864865,0.03003003003003003
search_derived_false_basin,P_16,36,36,0,0.10629379379379379,0.10810810810810811,0.020673590303203586,0.07132132132132132,0.0822072072072072,0.08689939939939939,0.12162162162162163,0.1325075075075075,0.14564564564564564
search_derived_false_basin,P_thetaS_001,36,36,0,0.0003128128128128128,0.0,0.0005418076850503245,0.0,0.0,0.0,0.0007507507507507507,0.0007507507507507507,0.0022522522522522522
search_derived_false_basin,P_thetaS_005,36,36,0,0.0003128128128128128,0.0,0.0005418076850503245,0.0,0.0,0.0,0.0007507507507507507,0.0007507507507507507,0.0022522522522522522
search_derived_false_basin,P_thetaS_010,36,36,0,0.0003128128128128128,0.0,0.0005418076850503245,0.0,0.0,0.0,0.0007507507507507507,0.0007507507507507507,0.0022522522522522522
search_derived_false_basin,kappa_max,36,36,0,0.7898148148148149,0.775,0.163359681254383,0.5,0.6,0.6666666666666666,1.0,1.0,1.0
search_derived_false_basin,kappa_q90,36,36,0,0.3033810325476992,0.3333333333333333,0.05040201603477087,0.2222222222222222,0.25,0.25,0.3333333333333333,0.3693181818181818,0.375
search_derived_false_basin,kappa_q95,36,0,36,,,,,,,,,
search_derived_false_basin,kappa_q99,36,36,0,0.5227623456790123,0.5714285714285714,0.09606440627629334,0.375,0.4,0.4214285714285714,0.6,0.625,0.6666666666666666
search_derived_false_basin,low_q_high_kappa_overlap,36,36,0,66.83333333333333,71.0,16.99264546796643,33.0,41.0,53.5,79.0,85.5,99.0
search_derived_false_basin,Q_ratio,36,36,0,54.464699074074076,38.60416666666667,19.005965332693815,38.06597222222222,38.13194444444444,38.41666666666667,76.81076388888889,77.17361111111111,77.9375
search_derived_false_basin,Q_tot,36,36,0,44275.555555555555,44290.0,277.50920349547215,43720.0,43914.0,44089.0,44425.0,44574.0,45004.0
search_derived_false_basin,InitHardness,36,36,0,-1006.2730158730111,-991.8285714285666,277.50920349547215,-1561.8285714285666,-1367.8285714285666,-1192.8285714285666,-856.8285714285666,-707.8285714285666,-277.82857142856665
search_derived_false_basin,E_total,36,36,0,8743.0,8737.0,28.744081516413466,8689.0,8717.0,8725.0,8763.0,8773.0,8821.0
search_derived_false_basin,AP_total,36,36,0,488.3333333333333,488.0,10.066445913694333,473.0,477.0,481.0,495.0,502.0,511.0
search_derived_false_basin,E_excess_total,36,36,0,-122.45714285714212,-128.45714285714212,28.744081516413466,-176.45714285714212,-148.45714285714212,-140.45714285714212,-102.45714285714212,-92.45714285714212,-44.45714285714212
search_derived_false_basin,AP_excess_total,36,36,0,-1.4666666666666426,-1.7999999999999758,10.066445913694333,-16.799999999999976,-12.799999999999976,-8.799999999999976,5.200000000000024,12.200000000000024,21.200000000000024
search_derived_false_basin,improving_swap_count,36,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
search_derived_false_basin,near_improving_count_h_le_4,36,36,0,4.222222222222222,4.0,3.504846732352779,0.0,0.5,1.0,6.25,9.5,12.0
search_derived_false_basin,near_improving_count_h_le_8,36,36,0,20.11111111111111,19.0,9.45685459153476,2.0,9.5,13.0,27.0,31.5,40.0
search_derived_false_basin,near_improving_count_h_le_16,36,36,0,141.58333333333334,144.0,27.53722228386718,95.0,109.5,115.74999999999999,162.0,176.5,194.0
search_derived_false_basin,moment_zero_count_3,36,36,0,0.027777777777777776,0.0,0.16433554953054488,0.0,0.0,0.0,0.0,0.0,1.0
search_derived_false_basin,moment_zero_count_6,36,36,0,0.1388888888888889,0.0,0.5350377856738395,0.0,0.0,0.0,0.0,0.0,3.0
search_derived_false_basin,higher_moment_norm,36,36,0,358.72222222222223,361.0,201.098595374827,27.0,79.5,233.75,498.0,622.5,873.0
unknown,score,44,44,0,32.63636363636363,16.0,27.0748884905711,12.0,12.0,12.0,41.0,72.0,100.0
unknown,D_min_ratio,44,44,0,0.6160529829647476,0.5933333333333333,0.3417922221841298,0.09090909090909091,0.13035714285714284,0.3784615384615385,1.0,1.0,1.0
unknown,h_min,44,44,0,-17.545454545454547,-8.0,18.649219512616394,-64.0,-42.8,-32.0,0.0,0.0,0.0
unknown,h_min_over_S,44,44,0,-0.38394701703525236,-0.4066666666666666,0.3417922221841298,-0.9090909090909091,-0.8696428571428572,-0.6215384615384616,0.0,0.0,0.0
unknown,P_<0,44,44,0,0.04016516516516517,0.0033783783783783786,0.0599215874019356,0.0,0.0,0.0,0.05574324324324324,0.13843843843843845,0.2087087087087087
unknown,P_0,44,44,0,0.0573983073983074,0.013513513513513514,0.07497817500015642,0.0007507507507507507,0.0007507507507507507,0.0015015015015015015,0.08614864864864866,0.17822822822822826,0.265015015015015
unknown,P_4,44,44,0,0.08372577122577123,0.03678678678678679,0.09081439553826857,0.0045045045045045045,0.008258258258258258,0.011824324324324325,0.12819069069069067,0.22522522522522523,0.3213213213213213
unknown,P_8,44,44,0,0.12273068523068523,0.07507507507507508,0.10409385512078022,0.02702702702702703,0.032507507507507506,0.036036036036036036,0.18205705705705705,0.284984984984985,0.3813813813813814
unknown,P_16,44,44,0,0.2424071799071799,0.1963213213213213,0.10351345647869217,0.13813813813813813,0.1445195195195195,0.1540915915915916,0.306493993993994,0.40240240240240244,0.48123123123123124
unknown,P_thetaS_001,44,44,0,0.0573983073983074,0.013513513513513514,0.07497817500015642,0.0007507507507507507,0.0007507507507507507,0.0015015015015015015,0.08614864864864866,0.17822822822822826,0.265015015015015
unknown,P_thetaS_005,44,44,0,0.06219287469287469,0.013513513513513514,0.08692483366903171,0.0007507507507507507,0.0007507507507507507,0.0015015015015015015,0.08614864864864866,0.17822822822822826,0.3213213213213213
unknown,P_thetaS_010,44,44,0,0.07684957684957684,0.013513513513513514,0.10776216790394508,0.0007507507507507507,0.0007507507507507507,0.0015015015015015015,0.11467717717717718,0.22522522522522523,0.3813813813813814
unknown,kappa_max,44,44,0,1.7701930014430014,1.6,0.8720715869773548,1.0,1.0,1.0,2.258928571428571,2.7833333333333337,4.0
unknown,kappa_q90,44,44,0,0.69951134723862,0.55,0.32160341514669877,0.4,0.4285714285714285,0.42857142857142855,0.8678571428571428,1.235,1.5
unknown,kappa_q95,44,0,44,,,,,,,,,
unknown,kappa_q99,44,44,0,1.1696969696969697,0.9166666666666667,0.5145019833014313,0.6666666666666666,0.7142857142857143,0.75,1.5113636363636362,2.0,2.4285714285714284
unknown,low_q_high_kappa_overlap,44,44,0,66.68181818181819,68.5,15.187873044087041,31.0,48.3,54.75,78.0,86.60000000000002,96.0
unknown,Q_ratio,44,44,0,16.236446124161002,19.205729166666664,9.340793067794735,3.088888888888889,4.290354938271605,7.555981691919191,25.646412037037038,25.799537037037037,26.01851851851852
unknown,Q_tot,44,44,0,44455.181818181816,44446.0,314.2651799130555,43860.0,43992.8,44253.0,44624.0,44901.2,45188.0
unknown,InitHardness,44,44,0,-826.6467532467485,-835.8285714285666,314.2651799130555,-1421.8285714285666,-1289.0285714285667,-1028.8285714285666,-657.8285714285666,-380.62857142856643,-93.82857142856665
unknown,E_total,44,44,0,8760.545454545454,8765.0,36.553481705487215,8693.0,8707.4,8732.0,8782.0,8798.6,8845.0
unknown,AP_total,44,44,0,491.95454545454544,491.0,11.673502523108683,471.0,477.6,485.0,499.0,510.40000000000003,517.0
unknown,E_excess_total,44,44,0,-104.91168831168757,-100.45714285714212,36.553481705487215,-172.45714285714212,-158.0571428571421,-133.45714285714212,-83.45714285714212,-66.8571428571421,-20.457142857142117
unknown,AP_excess_total,44,44,0,2.1545454545454787,1.2000000000000242,11.673502523108683,-18.799999999999976,-12.199999999999976,-4.799999999999976,9.200000000000024,20.60000000000003,27.200000000000024
unknown,improving_swap_count,44,44,0,53.5,4.5,79.81555441937823,0.0,0.0,0.0,74.25,184.39999999999998,278.0
unknown,near_improving_count_h_le_4,44,44,0,111.52272727272727,49.0,120.96477485697373,6.0,11.0,15.75,170.74999999999997,300.0,427.99999999999994
unknown,near_improving_count_h_le_8,44,44,0,163.47727272727272,100.0,138.65301502087925,36.0,43.3,48.0,242.5,379.6,508.0
unknown,near_improving_count_h_le_16,44,44,0,322.8863636363636,261.5,137.87992402961797,184.0,192.49999999999997,205.25000000000003,408.25,536.0,641.0
unknown,moment_zero_count_3,44,44,0,0.022727272727272728,0.0,0.14903269373413638,0.0,0.0,0.0,0.0,0.0,1.0
unknown,moment_zero_count_6,44,44,0,0.13636363636363635,0.0,0.3431742925123068,0.0,0.0,0.0,0.0,1.0,1.0
unknown,higher_moment_norm,44,44,0,345.97727272727275,329.0,176.6659004804322,89.0,165.4,203.0,446.75,570.2,902.0
